tc_bdb,50.97,0.00,0.47,4.89,163890432
tc_table,27.90,17.13,3.44,15.14,274390800
mongo_mcolls,345.37,0.00,1.93,133.63,237524612
mongo_index,346.34,9.46,2.04,149.02,309475860
redis_list,160.98,0.00,0.47,43.87,169375313
